,HasContext,IsA,FormOf,AtLocation,SimilarTo
0,"['kevil__nautical', 'cuddy__nautical', 'chesstree__nautical', 'nock__nautical', 'carling__nautical', 'turtled__nautical', 'bow__nautical', 'soogee__nautical', 'bluejacket__nautical']","['cockchafer__insect', 'scarabaeidae__insect', 'copromorphoidea__insect', 'empusidae__insect', 'eulophidae__insect', 'sphaerites__beetle', 'cetonia__insect']","['pereras__perera', 'haemosiderosis__hemosiderosis', 'hemipteron__hemipteran', 'kozas__koza', 'aceptromazine__acepromazine', 'hyperhomocysteinaemia__hyperhomocysteinemia', 'amidohydrolases__amidohydrolase', 'redolency__redolence', 'dougies__dougie', 'palygorskites__palygorskite', 'perborates__perborate', 'woodhouses__woodhouse', 'gawing__gaw', 'bauffing__boffing', 'dysesthesiae__dysesthesias', 'pregnanes__pregnane']","['mouse__hole', 'mouse__use', 'mouse__grass', 'mouse__garden', 'mouse__home']","['depreciative__uncomplimentary', 'psychedelic__psychoactive', 'forged__counterfeit', 'thirteen__twelve', 'protrusible__extensile', 'gaseous__vapourific', 'marauding__offensive', 'humble__humiliated', 'enthusiastic__zealous', 'superior__classic', 'super__large', 'thickened__thick', 'extensive__large', 'dreadful__disagreeable', 'strange__funny', 'cacophonous__strident', 'tender__tenderised', 'monimolimnion__hypolimnion', 'hen__cock', 'brief__short', 'diamagnetism__antiferromagnetism', 'murmurous__soft', 'detonative__explosive', 'timid__coy', 'underivative__original', 'north__northbound', 'reverberating__reverberant', 'registered__certified', 'snood__caruncle', 'marginal__narrow', 'quinella__exacta', 'pleasing__sweet', 'unskilled__semiskilled', 'menfolk__womenfolk', 'curved__sinuous', 'perceptible__sensible', 'carsickness__airsickness', 'intense__intensive', 'young__early', 'portentous__prophetic', 'woven__braided', 'slatternly__untidy', 'dark__darkling', 'sensitive__irritable', 'overstated__immoderate', 'passionless__platonic', 'domineering__blustery', 'adoring__loving', 'cogitative__thoughtful', 'asa__apap', 'merciless__tigerish', 'loving__amatory', 'disqualified__ineligible', 'changeable__mutable', 'outgoing__outflowing', 'angry__ireful', 'unfortunate__dispossessed', 'qualitate__quantitate', 'increased__multiplied', 'imitative__apelike', 'gay__indulgent', 'gaseous__airlike', 'behind__down', 'altercation__querelle', 'trifling__worthless', 'obedient__duteous', 'uninvolved__unconcerned', 'unperceptive__blank', 'crowning__top', 'prot__deuter', 'abundant__superabundant', 'eventual__ultimate', 'faddish__fashionable', 'dull__lackluster', 'tusked__toothed', 'semipermeable__permeable', 'offhand__easy', 'scarecrowish__thin', 'unauthorised__unofficial', 'uninstructed__uninformed', 'questionable__equivocal', 'armored__bulletproof', 'redeeming__good', 'seamless__broadloom', 'intentionally__deliberately', 'bifocal__central', 'hopeless__bad', 'old__ancient', 'aligned__allied', 'disaccharide__tetrasaccharide', 'tellurocracy__thalassocracy', 'sorceress__warlock', 'insane__certifiable', 'sedimentitious__cementitious', 'supposed__obligated', 'calloused__tough', 'raw__untoasted', 'midtempo__downtempo', 'indefinite__nebulous', 'connotative__inferential', 'untraversable__impassable', 'tasteless__ostentatious', 'wearied__tired', 'main__intense', 'sealed__unopened', 'whippy__elastic', 'stupid__asinine', 'audioblog__videoblog', 'religious__interfaith', 'unprocessed__unvulcanised', 'morganatic__legitimate', 'unaccountable__irresponsible', 'perfect__idealised', 'direct__nonstop', 'oblique__bias', 'labiate__lipped', 'straightforward__direct', 'scalable__ascendable', 'mgm__fgm', 'sinuate__smooth', 'empty__vacant', 'wild__frenzied', 'stormy__tempestuous', 'uxorious__maritorious', 'good__fortunate', 'educated__semiliterate', 'defenceless__vulnerable', 'rough__broken', 'entire__uncastrated', 'expansive__impressive', 'joined__married', 'original__innovational', 'uncolored__achromous', 'hot__near', 'supernormal__abnormal', 'patched__old', 'coherent__seamless', 'splinterproof__unbreakable', 'discombobulated__discomposed', 'close__private', 'spontaneous__unprompted', 'compromising__vulnerable', 'multiverse__omniverse', 'floating__afloat', 'remunerative__paid', 'disbelieving__incredulous', 'national__federal', 'conservative__blimpish', 'unsmiling__joyless', 'ferocious__fierce', 'international__foreign', 'overemotional__emotional', 'pacifistic__peaceful', 'imaginary__unreal', 'rough__emarginate', 'effervescent__effervescing', 'biloculate__divided', 'able__capable', 'outstanding__superior', 'biggish__large', 'anthropophagy__cannibalism', 'outermost__outer', 'has__is', 'husbandly__domestic', 'concise__epigrammatic', 'tisiphone__alecto', 'humorous__uproarious', 'modest__unpretentious', 'loose__flyaway', 'motherless__fatherless', 'hurried__rushed', 'province__territory', 'musubi__運命の赤い糸', 'thick__quilted', 'harmful__nocent', 'churchgoer__chapelgoer', 'mathematical__possible', 'unsteady__uneven', 'private__close', 'wholesome__salubrious', 'albescent__white', 'partitionist__separatist', 'ugly__monstrous', 'lachrymose__sorrowful', 'apologetic__justificatory', 'unconcealed__blatant', '900__540', 'manhua__komku', 'delicate__sensitive', 'jam__preserve', 'anthelminthic__healthful', 'desirous__athirst', 'eyelike__eyed', 'increased__accumulated', 'spacey__unconventional', 'untroubled__unconcerned', 'intelligent__agile', 'bone__bony', 'loud__earsplitting', 'tardive__late', 'commonplace__ordinary', 'disjunct__discontinuous', 'interlinking__complex', 'ritzy__elegant', 'unwonted__uncommon', 'ninjette__ninja', 'witch__wizard', 'ingenuous__naive', 'careful__troubled', 'fast__speedy', 'starring__major', 'dictated__settled', 'baritone__soprano', 'mountainous__large', 'coreferent__related', 'affirmable__possible', 'effervescing__effervescent', 'penitent__remorseful', 'mutual__shared', 'cook__cookess', 'achromous__uncolored', 'vacuous__empty', 'costate__ribbed', 'bad__pretty', 'irresponsible__feckless', 'flightless__wingless', 'fluent__graceful', 'suffrutescent__woody', 'tetraterpene__sesquiterpene', 'unsleeping__awake', 'indeterminate__indeterminable', 'hitlerism__fascism', 'scandent__ascending', 'catastrophic__harmful', 'increasing__incorporative', 'collinear__coincident', 'mac__pc', 'slippery__slithery', 'unlifelike__artificial', 'neighboring__connected', 'binding__valid', 'deuteron__h', 'unrelated__orthogonal', 'unfrozen__thawed', 'defoliated__leafless', 'shifty__unsteady', 'bride__groom', 'fancy__fantastic', 'patented__proprietary', 'controlled__regimented', 'enclosed__surrounded', 'hygienical__sanitary', 'friendly__couthie', 'salty__brackish', 'unprofessional__amateurish', 'denarian__nonagenarian', 'periodic__oscillating', 'awake__awakened', 'accumulated__increased', 'general__universal', 'unfruitful__abortive', 'uncombable__uncombed', 'fizzing__effervescent', 'warlock__sorcerer', 'ingestant__inhalant', 'bestubbled__unshaven', 'finding__discovery', 'bloody__bloodstained', 'encouraging__inspiriting', 'male__staminate', 'canonical__standard', 'epicene__androgynous', 'capped__crowned', 'travel__voyage', 'provincial__parochial', 'unrealistic__phantasmagorical', 'ensorcelled__enchanted', 'perfunctory__careless', 'verbal__spoken', 'dejected__lonesome', 'extraordinaire__extraordinary', 'exculpated__innocent', 'ample__full', 'unsound__decayed', 'inheritor__heir', 'undiscriminating__indiscriminate', 'acyclic__aliphatic', 'orienting__positioning', 'inadvisable__inexpedient', 'shrill__garish', 'iconoclastic__destructive', 'disappear__vanish', 'exquisite__beautiful', 'curtal__short', 'disregarded__unnoticed', 'temerarious__bold', 'machaon__podaleirios', 'palmatifid__compound', 'lascivious__sexy', 'briefs__underpants', 'capcom__fido', 'unidirectional__unifacial', 'adjusted__weighted', 'unrefreshed__tired', 'dead__assassinated', 'much__overmuch', 'asleep__sleepyheaded', 'rough__abrasive', 'perfect__perfectible', 'dead__exanimate', 'alcoholic__spirituous', 'vivid__clear', 'protected__preserved', 'adaptable__filmable', '1080__900', 'stimulative__stimulating', 'semidark__dark', 'tonal__polytonal', 'undiagnosed__unknown', 'burlesque__vaudeville', 'wpg__wmec', 'violent__intense', 'lumberjack__woodcutter', 'antonymous__incompatible', 'finished__concluded', 'singular__individual', 'thick__heavy', 'servile__bootlicking', 'mean__median', 'latria__hyperdulia', 'turbiditic__hemipelagic', 'incumbent__current', 'free__unhampered', 'armored__scaley', 'sprout__shoot', 'ssi__msi', 'nighted__unpunctual', 'monogenic__inheritable', 'unhealed__ill', 'lost__stray', 'insubstantial__unwholesome', 'sickle__scythe', 'far__immoderate', 'sketch__skit', 'uninhibited__abandoned', 'aspirin__ibuprofen', 'inscribed__written', 'incontestable__unanswerable', 'festivus__yule', 'unselfconscious__unaffected', 'candlestick__candelabrum', 'supernatural__unearthly', 'drumette__flat', 'bulletproof__armored', 'retarded__imbecilic', 'materteral__paternal', 'leafy__foliolate', 'harmful__prejudicious', 'starving__malnourished', 'hot__sexy', 'spirited__resilient', 'immense__large', 'indulgent__hedonistic', 'unmechanised__nonmechanical', 'unintelligent__brainless', 'pious__worshipful', 'eligible__suitable', 'headline__byline', 'unknowledgeable__uninformed', 'shrill__strident', 'polyandrous__polygamous', 'tertiary__nonary', 'shinobi__ninja', 'gsrm__gsm', 'modified__restricted', 'flatulent__unhealthy', 'grasslike__grassy', 'equal__coequal', 'inhabitable__livable', 'casteless__unwanted', 'tired__unrefreshed', 'captivated__enchanted', 'empirical__experimental', 'epimorphic__metamorphic', 'hopeless__insoluble', 'public__national', 'robovirus__arbovirus', 'militaristic__military', 'different__divers', 'alert__cognizant', 'aureate__chromatic', 'gluttonous__overgreedy', 'distracted__inattentive', 'ropey__inferior', 'lacelike__fancy', 'ezh__ess', 'concealed__hidden', 'kindling__tinder', 'earthy__natural', 'concentrated__undiluted', 'disingenuous__misrepresented', 'unexclusive__public', 'doughy__heavy', 'tetraterpene__triterpene', 'declared__professed', 'no__nary', 'unhealthful__cytopathogenic', 'volunteer__voluntary', 'regal__noble', 'admissive__receptive', 'express__fast', 'uncut__unsheared', 'revengeful__unforgiving', 'underactive__inactive', 'apportionable__distributive', 'needlelike__pointed', 'explosive__detonative', 'silver__silvery', 'normal__natural', 'apoprotein__holoprotein', 'unobjectionable__inoffensive', 'subject__affected', 'colorless__etiolated', 'beautiful__splendiferous', 'representational__naturalistic', 'purposeless__directionless', 'unacknowledged__unavowed', '1080__1260', 'motherlike__maternal', 'shoot__sprout', 'mephistophelean__evil', 'wiseass__clown', 'lethal__fatal', 'machaon__aceso', 'invalid__sophistical', 'mitigable__placable', 'antonymous__contradictory', 'fitting__just', 'cooker__stove', 'uninhibited__earthy', 'attentive__advertent', 'harangue__rant', 'transportable__mobile', 'paid__remunerative', 'legitimate__valid', 'ph.d__d.a', 'octogenarian__tricenarian', 'untalkative__taciturn', 'theoretical__academic', 'hostile__opponent', 'crooked__underhanded', 'conversational__informal', 'blind__protanopic', 'laudatory__complimentary', 'antique__old', 'botuliform__formed', 'isogonic__angular', 'predacious__carnivorous', 'intellectual__sophisticated', 'unmodified__unrestricted', 'plebeian__lowborn', 'underlying__basic', 'left__leftish', 'training__internship', 'softened__soft', 'concealed__incognito', 'colpus__porus', 'backshore__foreshore', 'conformable__consistent', 'salary__remuneration', 'valuable__worth', 'tertiary__quinary', 'vga__8514', 'inferior__scrawny', 'abstemious__abstentious', 'representative__democratic', 'propellent__dynamic', 'microcystin__anatoxin', 'outside__extramural', 'controversial__contentious', 'valid__legitimate', 'quiet__tiptoe', 'wanted__desired', 'viewless__neutral', 'dull__monotonous', 'superior__preeminent', 'width__breadth', 'perfect__undefiled', 'punishable__illegal', 'incorporeal__discorporate', 'uxorious__loving', 'spontaneous__unscripted', 'dead__cold', 'connective__conjunctive', 'unilluminated__dark', 'etiolated__colorless', 'ingratiating__pleasing', 'close__fine', 'deep__colorful', 'stoical__unemotional', 'mateless__unmated', 'sweeping__wide', 'diamagnetism__ferrimagnetism', 'permanent__enduring', 'original__first', 'acceptable__standard', 'imported__foreign', 'unfair__unsportsmanlike', 'earned__attained', 'unrelenting__continual', 'noisy__clangorous', 'assimilable__digestible', 'unrecognised__unacknowledged', 'coagulate__thick', 'hard__stonelike', 'eyed__popeyed', 'fatty__superfatted', 'preserved__retained', 'gracious__propitious', 'devote__consecrate', 'passing__satisfactory', 'rough__squamulose', 'clanswoman__clansman', 'bias__oblique', 'noisy__stertorous', 'smelling__odorous', 'appointed__furnished', 'wrong__wrongheaded', 'inferior__indifferent', 'incriminating__inculpatory', 'transphobia__heterophobia', 'webbed__palmate', 'brunet__grizzled', 'joyful__overjoyed', 'credulous__naive', 'apss__ag', 'uncontrolled__masterless', 'eerie__supernatural', 'mca__isa', 'adorned__crested', 'immature__jejune', 'integrated__incorporated', 'blind__unperceptive', 'anteroposterior__vertical', 'unfit__unsuitable', 'balanced__stable', 'rhythmic__rhythmical', 'reanimated__animated', 'convincing__disillusioning', 'akanye__okanye', 'powerful__coercive', 'vms__vss', 'public__unexclusive', 'messy__untidy', 'monoterpene__triterpene', 'good__saving', 'squared__square', 'prepared__precooked', 'centrist__rightist', 'enterprising__entrepreneurial', 'nonmechanical__nonmechanistic', '1440__1260', 'finespun__precise', 'ph.d__ed.d', 'uncontrolled__uncontrollable', 'overturned__turned', 'underslung__low', 'bated__decreased', 'worthy__meritorious', 'maru__nigori', 'arcadian__rural', 'proto__deutero', 'rolled__coiled', 'variant__variable', 'lust__lasciviousness', 'deep__thick', 'vulnerable__susceptible', 'grinch__scrooge', 'matched__matching', 'protagonist__deuteragonist', 'happy__bright', 'sympathetic__similar', 'down__fallen', 'wary__shy', 'unintended__unintentional', 'unfathomed__deep', 'maduro__oscuro', 'honorable__venerable', 'dirty__sooty', 'patriotic__ultranationalistic', 'codified__written', 'pyridoxal__pyridoxamine', 'commiserative__sympathetic', 'tall__tallish', 'superior__unaffected', 'heatshield__aeroshell', 'disturbed__neurotic', 'elongated__long', 'ghostly__eerie', 'revocable__rescindable', 'rancid__malodorous', 'bad__ill', 'warmed__warm', 'glabrous__hairless', 'ass__idiot', 'appellee__appellant', 'theoretical__abstractive', 'sufficient__adequate', 'narrow__narrowed', 'approved__authorized', 'stretchable__elastic', 'ninpō__kunoichi', 'precise__dead', 'involuntary__forced', 'organic__healthful', 'chief__important', 'important__burning', 'e__i', 'proper__fitting', 'surprised__astonished', 'diary__daybook', 'celestial__heavenly', 'invalid__false', 'sister__brotherhood', 'lemonlike__sour', 'wrathful__irate', 'foreordained__certain', 'remorseful__penitent', 'louche__disreputable', 'rootless__unsettled', 'institutional__institutionalised', 'elective__nonappointive', 'ludicrous__humorous', 'clearheaded__clear', 'automatic__smart', 'untrained__undisciplined', 'unsettled__tentative', 'sober__unintoxicated', 'sulfurous__unpleasant', 'sensational__sensationalistic', 'deviant__abnormal', 'present__immediate', 'indulgent__permissive', 'dark__darkish', 'rough__denticulate', 'same__duplicate', 'unworldly__unmercenary', 'harbour__port', 'senior__big', 'addable__additive', 'saturated__vivid', 'settled__effected', 'nonsense__prattle', 'monarchal__undemocratic', 'apocope__paragoge', 'impugnable__questionable', 'temperate__restrained', 'dark__tenebrific', 'intrusive__interfering', 'callow__inexperienced', 'cautious__gingerly', 'flexible__bendable', 'penitential__penitent', 'invulnerable__untouchable', 'available__easy', 'unhealthy__mental', 'immunogenic__unsusceptible', 'poetical__rhetorical', 'adjacent__near', 'humorous__sidesplitting', 'unsanded__unfinished', 'upbound__up', 'unstable__rickety', 'dead__exsanguinous', 'felicitous__fortunate', 'useless__unuseable', 'prestissimo__fast', 'maritorious__uxorious', 'late__latish', 'bungling__unskilled', 'shadowed__shaded', 'clarion__loud', 'majestic__impressive', 'conventional__formulaic', 'smallish__microscopic', 'large__macro', 'slow__andante', 'wooded__brambly', 'lidocaine__denatonium', 'watchful__awake', 'alpine__upland', 'cord__string', 'tearful__snuffling', 'unclothed__stripped', 'specifiable__identifiable', 'imperfect__human', 'resistant__unsusceptible', 'impertinent__irrelevant', 'demonstrable__obvious', 'striated__striped', 'unsocial__asocial', 'tasty__choice', 'surrounded__enclosed', 'tipsy__unstable', 'unseductive__uninviting', 'comfortless__uncomfortable', 'basic__elementary', 'pardonable__forgivable', 'reputable__esteemed', 'attributable__credited', 'pointed__needlelike', 'fascinating__interesting', 'supernatural__metaphysical', 'efficacious__effective', 'serious__intellectual', 'fast__straightaway', 'mesmerise__hypnotize', 'inalienable__nontransferable', 'uninteresting__deadening', 'sx__lx', 'all__every', 'specific__particular', 'proportionate__commensurate', 'boughless__limbless', 'official__established', 'dull__edgeless', 'coastwise__coastal', 'homosexual__bi', 'illegal__extralegal', 'crow__raven', 'unreal__dreamlike', 'passionate__overzealous', 'opisthognathous__chinless', 'depilous__hairless', 'aggregate__multiple', 'strong__forceful', 'harmful__bad', 'rhombohedral__symmetrical', 'didactical__instructive', 'playful__elfish', 'pupper__doggo', 'pareve__edible', 'southernmost__south', 'tangled__rootbound', 'insentient__unfeeling', 'unscripted__spontaneous', 'stormy__choppy', 'metamorphic__hemimetamorphous', 'feminine__fair', 'connected__engaged', 'dead__murdered', 'hurried__flying', 'variable__adaptable', 'impassive__unemotional', 'brachiate__branchy', 'clean__perfect', 